layer,type,comparison_group,index,score,mean_deviant,mean_factual,ent_deviant,ent_factual
3,neuron_activation,Hallucinations_vs_Factual,6040,0.5838547348976135,-0.004455401096493006,-0.011507666669785976,,
3,neuron_activation,Hallucinations_vs_Factual,1496,0.5708922743797302,0.0023221999872475863,-0.008011330850422382,,
3,neuron_activation,Hallucinations_vs_Factual,2036,0.5633853077888489,-0.036463137716054916,-0.050413578748703,,
3,neuron_activation,Hallucinations_vs_Factual,542,0.5606260299682617,0.008521749638020992,0.0032955545466393232,,
4,neuron_activation,Impossible_vs_Factual,3870,0.5576975345611572,-0.01881246268749237,-0.039320576936006546,,
4,neuron_activation,Impossible_vs_Factual,7762,0.555367112159729,0.027008118107914925,0.016423167660832405,,
4,neuron_activation,Impossible_vs_Factual,4993,0.5552316308021545,0.05046861991286278,0.03212904930114746,,
4,neuron_activation,Impossible_vs_Factual,1059,0.5539210438728333,0.005828086286783218,0.0007288046181201935,,
4,neuron_activation,Impossible_vs_Factual,88,0.5161237716674805,-0.00647436548024416,-0.01498150173574686,,
4,neuron_activation,Impossible_vs_Factual,4466,0.515200674533844,0.0756523385643959,0.05236158147454262,,
4,neuron_activation,Impossible_vs_Factual,6881,0.5005775094032288,0.027454247698187828,0.010249115526676178,,
4,neuron_activation,Impossible_vs_Factual,6669,0.48932504653930664,-0.00580406840890646,-0.010335108265280724,,
4,neuron_activation,Impossible_vs_Factual,7825,0.4887504577636719,-0.01648588478565216,-0.029749594628810883,,
4,neuron_activation,Impossible_vs_Factual,9,0.48327749967575073,-0.0019676433876156807,-0.023206744343042374,,
4,neuron_activation,Hallucinations_vs_Factual,88,0.6007781624794006,-0.0047986689023673534,-0.01498150173574686,,
4,neuron_activation,Hallucinations_vs_Factual,331,0.5950480699539185,0.00918594840914011,-0.00012847527978010476,,
4,neuron_activation,Hallucinations_vs_Factual,4466,0.5936256051063538,0.0794687494635582,0.05236158147454262,,
4,neuron_activation,Hallucinations_vs_Factual,3676,0.5896393656730652,0.029630297794938087,0.015309535898268223,,
4,neuron_activation,Hallucinations_vs_Factual,6669,0.585091769695282,-0.0049609350971877575,-0.010335108265280724,,
4,neuron_activation,Hallucinations_vs_Factual,2790,0.5781542658805847,0.01216784119606018,0.0019875895231962204,,
4,neuron_activation,Hallucinations_vs_Factual,4729,0.5654367208480835,0.012597629800438881,0.001968351425603032,,
4,neuron_activation,Hallucinations_vs_Factual,8152,0.5591254234313965,-0.014981552958488464,-0.023767776787281036,,
4,neuron_activation,Hallucinations_vs_Factual,6026,0.5558451414108276,0.005031466484069824,-0.001250473316758871,,
4,neuron_activation,Hallucinations_vs_Factual,8160,0.5542222857475281,0.0012274379841983318,-0.004428284242749214,,
5,neuron_activation,Impossible_vs_Factual,725,0.5468804240226746,0.018554847687482834,0.0067065684124827385,,
5,neuron_activation,Impossible_vs_Factual,7333,0.5377734303474426,-0.0036050903145223856,-0.010806608945131302,,
