model,layer,relative_depth,boundary_type,evaluated_on,boundary_norm,boundary_stability,boundary_entropy,boundary_max_prob,fisher_info,hessian_curvature,jac_amplification,grad_blockage,grad_alignment,vocab_alignment,betti_0,betti_1
llama3.2-3B-it,22,0.7857142857142857,Impossible,Impossible,11.84559129088223,0.9649971463669782,11.75,8.881092071533203e-06,0.14667483799574657,0.017663954116667692,1.22314453125,0.07273930357769132,0.024582617450505495,0.314453125,189,0
llama3.2-3B-it,22,0.7857142857142857,Impossible,Factual,11.84559129088223,0.9649971463669782,11.75,8.881092071533203e-06,0.08418257959352494,0.008753158376433437,1.23828125,0.11456436943262815,0.10115628642961383,0.314453125,189,0
llama3.2-3B-it,22,0.7857142857142857,Hallucination,Hallucination,9.147545993557785,0.9756438740045278,11.75,8.52346420288086e-06,0.15618508164700115,0.008109932658068957,1.19384765625,0.04136070143431425,0.0431839597877115,0.337890625,178,0
llama3.2-3B-it,22,0.7857142857142857,Hallucination,Factual,9.147545993557785,0.9756438740045278,11.75,8.52346420288086e-06,0.09854525119364377,0.008451705672719662,1.18798828125,0.07619999349117279,0.07366769411601126,0.337890625,176,1
llama3.2-3B-it,23,0.8214285714285714,Impossible,Impossible,13.138965600176453,0.9573271223614935,11.75,8.881092071533203e-06,0.13064383920322165,0.015038097442624725,1.17529296875,0.07111522671766579,0.024931591484346427,0.302734375,172,1
llama3.2-3B-it,23,0.8214285714285714,Impossible,Factual,13.138965600176453,0.9573271223614935,11.75,8.881092071533203e-06,0.06887369181782782,0.006877312578997689,1.2783203125,0.109088652767241,0.09184886747971177,0.302734375,188,0
llama3.2-3B-it,23,0.8214285714285714,Hallucination,Hallucination,9.974251991594798,0.9613329720356417,11.75,8.58306884765625e-06,0.1259949402619142,0.007073110056778575,1.15576171875,0.039401707937940955,0.040336888923775405,0.32421875,177,0
llama3.2-3B-it,23,0.8214285714285714,Hallucination,Factual,9.974251991594798,0.9613329720356417,11.75,8.58306884765625e-06,0.057217060811115585,0.004283241610948093,1.259765625,0.06719306716695428,0.06295048142783344,0.32421875,174,0
llama3.2-3B-it,24,0.8571428571428571,Impossible,Impossible,14.29671028480947,0.9608583706135252,11.75,9.000301361083984e-06,0.12166682907203692,0.01105653752950997,1.18017578125,0.07344062114134431,0.02367127244360745,0.30859375,180,0
llama3.2-3B-it,24,0.8571428571428571,Impossible,Factual,14.29671028480947,0.9608583706135252,11.75,9.000301361083984e-06,0.05501956791289642,0.006318641848847622,1.275390625,0.11176716815680265,0.09649101318791509,0.30859375,191,0
llama3.2-3B-it,24,0.8571428571428571,Hallucination,Hallucination,10.473524987066144,0.9657695878923633,11.75,8.52346420288086e-06,0.08992078573614655,0.006287769800616849,1.1962890625,0.04784179152920842,0.044322431669570506,0.31640625,177,0
llama3.2-3B-it,24,0.8571428571428571,Hallucination,Factual,10.473524987066144,0.9657695878923633,11.75,8.52346420288086e-06,0.059928590707190366,0.005166528278909075,1.24951171875,0.07084649242460728,0.06820533238351345,0.31640625,180,0
llama3.2-3B-it,25,0.8928571428571429,Impossible,Impossible,15.295233841960753,0.9438079414056804,11.75,9.000301361083984e-06,0.10520649976777932,0.004455477129837267,1.20556640625,0.08344260999001563,0.017802847432903945,0.3125,185,0
llama3.2-3B-it,25,0.8928571428571429,Impossible,Factual,15.295233841960753,0.9438079414056804,11.75,9.000301361083984e-06,0.047551355980715256,0.004374701148640964,1.26025390625,0.11802624771371484,0.09156277356669307,0.3125,192,0
llama3.2-3B-it,25,0.8928571428571429,Hallucination,Hallucination,11.21460482101111,0.9364019982308183,11.75,8.52346420288086e-06,0.06988096472021517,0.002777306066142783,1.1962890625,0.05032760230824351,0.046226892387494445,0.32421875,174,0
llama3.2-3B-it,25,0.8928571428571429,Hallucination,Factual,11.21460482101111,0.9364019982308183,11.75,8.52346420288086e-06,0.03898482668903463,0.002783267300287608,1.27099609375,0.06123372772708535,0.05456796754151583,0.32421875,179,0
llama3.2-3B-it,26,0.9285714285714286,Impossible,Impossible,16.740592829032224,0.922740623677186,11.75,9.298324584960938e-06,0.07041711218994534,0.003674432334764428,1.3076171875,0.08253317978233099,0.010138021141756326,0.328125,190,0
llama3.2-3B-it,26,0.9285714285714286,Impossible,Factual,16.740592829032224,0.922740623677186,11.75,9.298324584960938e-06,0.02317012266509445,0.003238098596189374,1.32275390625,0.1261511235497892,0.0613299198448658,0.328125,190,0
llama3.2-3B-it,26,0.9285714285714286,Hallucination,Hallucination,12.433376125395974,0.8940817685987777,11.75,8.64267349243164e-06,0.05239512074475106,0.005181689731748873,1.27978515625,0.046252177213318646,0.03977002948522568,0.349609375,178,0
llama3.2-3B-it,26,0.9285714285714286,Hallucination,Factual,12.433376125395974,0.8940817685987777,11.75,8.64267349243164e-06,0.030044381352742885,0.0029539493367387215,1.3466796875,0.05817967373877764,0.021381827536970377,0.349609375,182,0
llama3.2-3B-it,27,0.9642857142857143,Impossible,Impossible,30.313952944382343,0.6640060394691104,11.75,8.821487426757812e-06,0.012232080682181309,0.0025797648228742245,1.41455078125,0.11259304778650403,-0.004748668754473329,0.447265625,178,0
llama3.2-3B-it,27,0.9642857142857143,Impossible,Factual,30.313952944382343,0.6640060394691104,11.75,8.821487426757812e-06,0.002508347512340561,0.0024424241083233476,1.35595703125,0.13790565077215433,0.0033073258091462776,0.447265625,190,0
