model,layer,relative_depth,boundary_type,evaluated_on,boundary_norm,boundary_stability,boundary_entropy,boundary_max_prob,fisher_info,hessian_curvature,jac_amplification,grad_blockage,grad_alignment,vocab_alignment,betti_0,betti_1
llama3.1-8B,2,0.0625,Hallucination,Factual,0.13975880649862726,0.4303418586543707,11.75,8.404254913330078e-06,0.0670633137450011,0.06846908153391418,1.40625,0.011937406728975475,0.002738198534643743,0.1953125,1,0
llama3.1-8B,3,0.09375,Impossible,Impossible,0.16262493872014197,0.5837382937265198,11.75,8.344650268554688e-06,0.07638285030932532,0.03126348872701354,1.25244140625,0.011181941605173051,-0.0022081349743530154,0.1689453125,1,0
llama3.1-8B,3,0.09375,Impossible,Factual,0.16262493872014197,0.5837382937265198,11.75,8.344650268554688e-06,0.058466281806809677,0.00486681486817464,1.33837890625,0.006130959467554931,-0.0035734699995373376,0.1689453125,1,0
llama3.1-8B,3,0.09375,Hallucination,Hallucination,0.20207863026372222,0.6137275044994162,11.75,8.344650268554688e-06,0.10061551296859496,0.13515455039786842,1.2470703125,0.008089978829957545,-0.0018925632939499337,0.1826171875,1,0
llama3.1-8B,3,0.09375,Hallucination,Factual,0.20207863026372222,0.6137275044994162,11.75,8.344650268554688e-06,0.05277945634551678,0.024351069539103966,1.38720703125,0.005453408441098873,-0.002305768779478967,0.1826171875,1,0
llama3.1-8B,4,0.125,Impossible,Impossible,0.3093324821758601,0.4781069060117006,11.75,8.404254913330078e-06,0.08846849604961912,0.002266221511862643,1.2841796875,0.005939128343015909,0.0019506669777911156,0.1865234375,1,0
llama3.1-8B,4,0.125,Impossible,Factual,0.3093324821758601,0.4781069060117006,11.75,8.404254913330078e-06,0.07067648929125313,0.006988019215955498,1.38427734375,0.0014123444489086978,0.008336646045790985,0.1865234375,1,0
llama3.1-8B,4,0.125,Hallucination,Hallucination,0.3171667546323555,0.5336993190997812,11.75,8.404254913330078e-06,0.0578307189611527,0.005950655093399103,1.21337890625,0.009680756033048965,-0.0013206417861511,0.1708984375,1,0
llama3.1-8B,4,0.125,Hallucination,Factual,0.3171667546323555,0.5336993190997812,11.75,8.404254913330078e-06,0.08355590436016011,0.001325596886715495,1.37744140625,0.009116596498643048,-0.004239738307660446,0.1708984375,1,0
llama3.1-8B,5,0.15625,Impossible,Impossible,0.552141219030755,0.500874865687888,11.75,8.285045623779297e-06,0.07834849940393826,0.0026327110913494604,1.28955078125,-0.003975126543082297,0.0031790810462553054,0.16015625,1,0
llama3.1-8B,5,0.15625,Impossible,Factual,0.552141219030755,0.500874865687888,11.75,8.285045623779297e-06,0.06357773034978534,0.0018002403882445553,1.40673828125,-0.007659124821657315,0.01497091718192678,0.16015625,1,0
llama3.1-8B,5,0.15625,Hallucination,Hallucination,0.5161476484586417,0.501249914859724,11.75,8.344650268554688e-06,0.06316547824291394,0.006464151751016656,1.23876953125,-0.0027287466000416316,-0.0008554553569410928,0.15234375,1,0
llama3.1-8B,5,0.15625,Hallucination,Factual,0.5161476484586417,0.501249914859724,11.75,8.344650268554688e-06,0.05612142785412077,-0.003407242118804854,1.40185546875,0.0046917376457713544,-0.008126506159896962,0.15234375,1,0
llama3.1-8B,6,0.1875,Impossible,Impossible,0.8173610450298296,0.5800769557967713,11.75,8.285045623779297e-06,0.07274464812934792,0.006008484952587365,1.31005859375,0.0056501621438656,0.0052860591385979205,0.1572265625,2,0
llama3.1-8B,6,0.1875,Impossible,Factual,0.8173610450298296,0.5800769557967713,11.75,8.285045623779297e-06,0.06521307516640257,0.003516056766374943,1.451171875,-0.0008348100673174486,0.016698016203008592,0.1572265625,1,0
llama3.1-8B,6,0.1875,Hallucination,Hallucination,0.708903911914912,0.5862228848679022,11.75,8.344650268554688e-06,0.05953551824922936,0.004478975805358916,1.21630859375,0.006229683804122033,-0.0008253462619904894,0.158203125,2,0
llama3.1-8B,6,0.1875,Hallucination,Factual,0.708903911914912,0.5862228848679022,11.75,8.344650268554688e-06,0.05659805010865362,-0.0005655970185120393,1.4091796875,0.007900560885900632,-0.011594747542403638,0.158203125,1,0
llama3.1-8B,7,0.21875,Impossible,Impossible,1.1804444954070477,0.5599641731755762,11.75,8.344650268554688e-06,0.0699543579410611,0.0058616498622544744,1.23291015625,0.008289389123092405,0.0080367072368972,0.1708984375,2,0
llama3.1-8B,7,0.21875,Impossible,Factual,1.1804444954070477,0.5599641731755762,11.75,8.344650268554688e-06,0.04989068071970956,0.006547041908441954,1.3349609375,-0.002177555681555532,0.010343291687604506,0.1708984375,4,0
llama3.1-8B,7,0.21875,Hallucination,Hallucination,0.9467325443140172,0.564017923628605,11.75,8.344650268554688e-06,0.05695349968635957,0.010836371623891948,1.19482421875,0.004440330449142493,0.0027306216215947643,0.1708984375,7,3
llama3.1-8B,7,0.21875,Hallucination,Factual,0.9467325443140172,0.564017923628605,11.75,8.344650268554688e-06,0.054919605718176646,0.005787187899931934,1.33056640625,0.0005004319973522797,-0.002981703197292518,0.1708984375,3,0
llama3.1-8B,8,0.25,Impossible,Impossible,1.4402640766337833,0.643954902683074,11.75,8.463859558105469e-06,0.07188186181952343,-0.0004830714616101089,1.22607421875,0.006011249191942625,0.008338307183294091,0.17578125,7,5
llama3.1-8B,8,0.25,Impossible,Factual,1.4402640766337833,0.643954902683074,11.75,8.463859558105469e-06,0.05856319695013963,0.006275621894851175,1.416015625,-0.009071591732208617,0.009636589340516366,0.17578125,3,0
llama3.1-8B,8,0.25,Hallucination,Hallucination,1.1039529522595903,0.5999834210737638,11.75,8.344650268554688e-06,0.055367693832507975,0.005448759177067825,1.15869140625,0.005539560806937516,0.004330919589847326,0.181640625,18,9
llama3.1-8B,8,0.25,Hallucination,Factual,1.1039529522595903,0.5999834210737638,11.75,8.344650268554688e-06,0.038527533381396285,0.002891342955801043,1.42724609375,0.000740215415135026,-0.005881854725885205,0.181640625,3,0
llama3.1-8B,9,0.28125,Impossible,Impossible,1.7276672210904196,0.6459032114051995,11.75,8.404254913330078e-06,0.09249635695312308,0.00034760312387992215,1.3564453125,0.009650238338508643,0.006376741279382259,0.1708984375,25,7
llama3.1-8B,9,0.28125,Impossible,Factual,1.7276672210904196,0.6459032114051995,11.75,8.404254913330078e-06,0.05913432080282805,0.006087037871013194,1.45166015625,-0.0010964788089040667,0.013255683770694304,0.1708984375,2,1
llama3.1-8B,9,0.28125,Hallucination,Hallucination,1.2427208350597505,0.6101214605787645,11.75,8.285045623779297e-06,0.04850685101861541,0.001698697914216853,1.0947265625,0.005029048435972072,0.006662322615738958,0.1748046875,27,4
llama3.1-8B,9,0.28125,Hallucination,Factual,1.2427208350597505,0.6101214605787645,11.75,8.285045623779297e-06,0.05835499245282254,0.005875894898320541,1.18505859375,-0.0032786656520329416,-0.0017035655182553455,0.1748046875,8,0
llama3.1-8B,10,0.3125,Impossible,Impossible,2.1190883905633515,0.679635621338477,11.75,8.344650268554688e-06,0.10316555182390164,0.0007957989807733669,1.1806640625,0.020726990449475124,0.005373228843382094,0.20703125,30,2
llama3.1-8B,10,0.3125,Impossible,Factual,2.1190883905633515,0.679635621338477,11.75,8.344650268554688e-06,0.046798356521448994,0.0021026637564897583,1.3515625,0.005583568825386465,0.0340560037875548,0.20703125,1,2
llama3.1-8B,10,0.3125,Hallucination,Hallucination,1.48433872691124,0.644605220618943,11.75,8.404254913330078e-06,0.0725265576162082,0.0034342607461459434,1.11962890625,0.006692245893646032,0.008023287649848498,0.2001953125,38,7
llama3.1-8B,10,0.3125,Hallucination,Factual,1.48433872691124,0.644605220618943,11.75,8.404254913330078e-06,0.060021383459661216,0.0018665376910595296,1.3095703125,-0.0024887549807317555,0.01292891224147752,0.2001953125,5,3
llama3.1-8B,11,0.34375,Impossible,Impossible,2.3536961246444466,0.6920080953031513,11.75,8.285045623779297e-06,0.10560605097105533,0.00100447576427732,1.1884765625,0.02742271136958152,0.008900985922082327,0.2197265625,48,9
llama3.1-8B,11,0.34375,Impossible,Factual,2.3536961246444466,0.6920080953031513,11.75,8.285045623779297e-06,0.0630327350053833,0.00473122019526083,1.2451171875,0.002689508779440075,0.04241918551269919,0.2197265625,3,1
llama3.1-8B,11,0.34375,Hallucination,Hallucination,1.588451498910165,0.6951335057805755,11.75,8.344650268554688e-06,0.054796922661038125,0.003220168518666339,1.10498046875,0.009352645283797756,0.010574525222182274,0.22265625,47,2
llama3.1-8B,11,0.34375,Hallucination,Factual,1.588451498910165,0.6951335057805755,11.75,8.344650268554688e-06,0.05147534143359251,0.0030529400354580767,1.2021484375,-0.007049915831885301,0.020904345845337957,0.22265625,5,2
llama3.1-8B,12,0.375,Impossible,Impossible,2.681817299094099,0.7057669431110076,11.75,8.344650268554688e-06,0.06170502716637736,7.624159619803132e-05,1.10498046875,0.03398508939426392,0.011321879923343658,0.23046875,46,13
llama3.1-8B,12,0.375,Impossible,Factual,2.681817299094099,0.7057669431110076,11.75,8.344650268554688e-06,0.05618050757989351,0.004515601349634546,1.1640625,0.01070719544077292,0.053294889628887177,0.23046875,3,1
llama3.1-8B,12,0.375,Hallucination,Hallucination,1.9719435838576966,0.6603183701963377,11.75,8.463859558105469e-06,0.05948780949721666,0.00026289286687933625,1.05322265625,0.011690292682033032,0.01720310898963362,0.224609375,57,3
llama3.1-8B,12,0.375,Hallucination,Factual,1.9719435838576966,0.6603183701963377,11.75,8.463859558105469e-06,0.040404747663085896,0.001773297465815456,1.10791015625,-0.008209213163354434,0.030789886019192636,0.224609375,4,1
llama3.1-8B,13,0.40625,Impossible,Impossible,3.318288087075875,0.6915101642217107,11.75,8.404254913330078e-06,0.07354532636122801,-0.00013689185934687915,1.115234375,0.04127096594311297,0.01248133102490101,0.2353515625,85,10
llama3.1-8B,13,0.40625,Impossible,Factual,3.318288087075875,0.6915101642217107,11.75,8.404254913330078e-06,0.058328671321741785,0.006556060487751158,1.203125,0.028833910793764517,0.05162818043027073,0.2353515625,25,3
llama3.1-8B,13,0.40625,Hallucination,Hallucination,2.4970471863538815,0.6643669205428906,11.75,8.344650268554688e-06,0.05773741677154196,0.004194801975050865,1.02685546875,0.019224913499783725,0.03213115403195843,0.240234375,81,0
llama3.1-8B,13,0.40625,Hallucination,Factual,2.4970471863538815,0.6643669205428906,11.75,8.344650268554688e-06,0.05732614783558941,0.00402170191170473,1.16650390625,0.003421314468141645,0.04370197397656739,0.240234375,23,2
llama3.1-8B,14,0.4375,Impossible,Impossible,3.684606562229806,0.7715483244442092,11.75,8.404254913330078e-06,0.0721606181775743,-0.0005400746536995795,1.08984375,0.04698933626059443,0.017103189398767427,0.259765625,90,7
