bucket,step,layer,relative_depth,LID_spatial,signal_magnitude,feature_entropy,spatial_variance,ratio_self_attn,ratio_cross_attn,ratio_mlp,LID_global
1_Coherent,15,19,0.6785714285714286,21.3325984954834,99.89664459228516,3.2592813313007354,1.69794921875,0.6479254245758057,0.0075734905432909725,0.3445010811090469,5.637056827545166
1_Coherent,15,20,0.7142857142857143,22.534403610229493,100.40068130493164,3.038000363111496,2.11826171875,0.577827763557434,0.006871370086446405,0.41530086994171145,5.848367214202881
1_Coherent,15,21,0.75,22.481830978393553,122.16615219116211,4.318045368790626,2.18310546875,0.49595109820365907,0.006753631075844169,0.49729527831077575,6.0751729011535645
1_Coherent,15,22,0.7857142857142857,23.49115982055664,174.41507568359376,4.526637893915177,2.4533203125,0.651806902885437,0.0057145868428051475,0.34247850477695463,5.930809020996094
1_Coherent,15,23,0.8214285714285714,26.84425868988037,207.08340148925782,3.0598884537816047,3.616796875,0.6875408828258515,0.006508728675544262,0.30595038533210756,5.86529016494751
1_Coherent,15,24,0.8571428571428571,27.866973876953125,213.9643524169922,2.12841839492321,5.51953125,0.6520588576793671,0.006307051563635468,0.34163408875465395,5.773341178894043
1_Coherent,15,25,0.8928571428571429,27.87316131591797,275.58433837890624,0.0697761799034197,7.710546875,0.6918950259685517,0.004920060839504003,0.30318490862846376,5.744209289550781
1_Coherent,15,26,0.9285714285714286,30.520008277893066,268.38780822753904,0.0015559635732643074,10.3578125,0.4506207525730133,0.0031663387548178435,0.546212911605835,5.582789897918701
1_Coherent,15,27,0.9642857142857142,31.16539649963379,320.2759185791016,2.656831950238207e-21,10.29453125,0.09178601577877998,0.001284299953840673,0.9069296777248382,5.15518045425415
1_Coherent,19,0,0.0,8.16121883392334,38.61937942504883,6.955737113952637,0.16708984375,0.41153888702392577,0.027742374502122403,0.5607187390327454,2.8089678287506104
1_Coherent,19,1,0.03571428571428571,10.641865253448486,37.64668197631836,6.960070705413818,0.21055908203125,0.5042645931243896,0.04339359700679779,0.45234180688858033,3.065079927444458
1_Coherent,19,2,0.07142857142857142,13.764348125457763,34.392846298217776,6.912962913513184,0.464697265625,0.35583366453647614,0.023900819942355156,0.6202655255794525,2.7891428470611572
1_Coherent,19,3,0.10714285714285714,13.890833187103272,33.47578773498535,6.901727485656738,0.5052490234375,0.5366516709327698,0.01992764212191105,0.4434206783771515,2.9313735961914062
1_Coherent,19,4,0.14285714285714285,14.448630332946777,25.90742130279541,6.889917278289795,0.5043701171875,0.507846149802208,0.013299621641635895,0.47885423004627226,3.0323452949523926
1_Coherent,19,5,0.17857142857142858,14.796388339996337,32.461079597473145,6.90258002281189,0.5080322265625,0.43769732415676116,0.010355028975754976,0.5519476413726807,3.123147487640381
1_Coherent,19,6,0.21428571428571427,16.754782485961915,23.513659477233887,6.905140352249146,0.548974609375,0.5708204567432403,0.00834643915295601,0.4208331048488617,3.1028199195861816
1_Coherent,19,7,0.25,17.30597915649414,26.6966495513916,6.906891107559204,0.556494140625,0.5190513074398041,0.008865727949887514,0.4720829755067825,3.280153751373291
1_Coherent,19,8,0.2857142857142857,18.138029670715333,30.19582042694092,6.903658151626587,0.573486328125,0.5535493493080139,0.00928510893136263,0.43716554045677186,3.3076038360595703
1_Coherent,19,9,0.32142857142857145,18.81184196472168,29.349666786193847,6.906351041793823,0.6021484375,0.5743209779262543,0.010836358834058046,0.4148426681756973,3.6120803356170654
1_Coherent,19,10,0.35714285714285715,18.65078639984131,31.18727226257324,6.902624177932739,0.616748046875,0.5143068939447403,0.015169418510049581,0.4705236852169037,3.807237148284912
1_Coherent,19,11,0.39285714285714285,18.47691593170166,34.29800796508789,6.898629808425904,0.645263671875,0.591076111793518,0.012276752665638924,0.39664712846279143,4.0588250160217285
1_Coherent,19,12,0.42857142857142855,18.21114559173584,42.20290756225586,6.530704832077026,0.689501953125,0.6027165293693543,0.009450042992830277,0.3878334254026413,4.293698310852051
1_Coherent,19,13,0.4642857142857143,19.58548927307129,42.32196273803711,6.185676097869873,0.7796875,0.5998975515365601,0.009150301665067672,0.39095215797424315,4.742410182952881
1_Coherent,19,14,0.5,19.466496467590332,46.14642105102539,5.820556712150574,0.8517578125,0.6001137256622314,0.008481459226459265,0.39140482544898986,5.554539203643799
1_Coherent,19,15,0.5357142857142857,18.295689582824707,62.86089859008789,5.35236086845398,0.951513671875,0.6351594150066375,0.006367836473509669,0.3584727466106415,5.408835411071777
1_Coherent,19,16,0.5714285714285714,18.65646286010742,59.250976181030275,5.421786069869995,1.2451171875,0.6462399959564209,0.007244544941931963,0.3465154618024826,4.871826171875
1_Coherent,19,17,0.6071428571428571,18.82321443557739,56.19867630004883,5.956964826583862,1.3296875,0.5153242409229278,0.007241251412779093,0.477434504032135,4.542482376098633
1_Coherent,19,18,0.6428571428571429,19.50826225280762,93.80079193115235,6.110854768753052,1.396875,0.6120512187480927,0.00528111825697124,0.3826676577329636,4.688826084136963
1_Coherent,19,19,0.6785714285714286,22.328166961669922,102.80629806518554,5.051555705070496,1.85107421875,0.6854899287223816,0.0071161982603371145,0.30739386677742003,4.8394670486450195
1_Coherent,19,20,0.7142857142857143,24.379162979125976,103.00558013916016,5.093580532073974,2.378515625,0.5875477433204651,0.00755564896389842,0.40489661395549775,4.844525337219238
1_Coherent,19,21,0.75,25.465130043029784,120.19615097045899,5.390621334314346,2.5947265625,0.5023620963096619,0.00801995168440044,0.4896179437637329,5.031939506530762
1_Coherent,19,22,0.7857142857142857,28.167803001403808,163.74811859130858,5.071386176347732,3.013671875,0.6340543687343597,0.007579877506941557,0.35836576521396635,5.025193214416504
1_Coherent,19,23,0.8214285714285714,32.97686767578125,195.86322479248048,3.453116798400879,4.821875,0.6867575883865357,0.009368973225355149,0.3038734465837479,4.830361366271973
1_Coherent,19,24,0.8571428571428571,33.51210384368896,209.58385162353517,3.016181641817093,7.815625,0.6679050624370575,0.008596567809581757,0.32349836826324463,4.907025337219238
1_Coherent,19,25,0.8928571428571429,33.926547050476074,248.75601348876953,1.0459624409675599,11.44296875,0.6612485945224762,0.010837505105882883,0.32791389524936676,4.852585792541504
1_Coherent,19,26,0.9285714285714286,39.058518981933595,206.6323989868164,0.626559716463089,14.12421875,0.5012934178113937,0.0070717089343816045,0.49163488745689393,4.931422233581543
1_Coherent,19,27,0.9642857142857142,40.36441535949707,187.7934997558594,8.996216451007122e-07,14.0875,0.16810260564088822,0.00198004636913538,0.8299173474311828,4.293459415435791
2_Paradoxical,0,0,0.0,15.786047649383544,34.789253616333006,7.00196008682251,0.1982666015625,0.2886941909790039,0.03453702330589294,0.6767687797546387,6.649527072906494
