bucket,layer,relative_depth,feature_entropy,gini_sparsity,confusion_alignment,signal_magnitude,ratio_self_attn,ratio_cross_attn,ratio_mlp,visual_complexity_proxy,LID,explained_variance_dim
1_Coherent,14,0.5,5.591154170036316,0.5222683450579644,-25.96795573234558,55.390901279449466,0.5653240910172462,0.020203585214912893,0.41447232127189637,1.3759130859375,4.384467304296545,123
1_Coherent,15,0.5357142857142857,3.4033181056380273,0.5357773387432099,-19.089980697631837,69.55294998168945,0.5915392434597015,0.01693205234128982,0.39152870401740075,1.46037109375,4.250929096975793,122
1_Coherent,16,0.5714285714285714,2.7890179700404407,0.504339515119791,-22.67477994441986,64.4963896560669,0.6183019468188286,0.013810500563122332,0.367887551933527,1.676611328125,4.237240849895409,118
1_Coherent,17,0.6071428571428571,2.400424084290862,0.47090674579143527,-10.450941486358643,61.45508684158325,0.5032390855252743,0.012932347171008586,0.48382856756448744,1.7071142578125,4.303293648022744,117
1_Coherent,18,0.6428571428571429,0.4396286007578601,0.47988863542675975,13.24407408952713,108.51832286834717,0.6590686225891114,0.009036348853260278,0.33189502865076065,1.7388232421875,4.438094518825553,112
1_Coherent,19,0.6785714285714286,0.4812990236934274,0.4468536289036274,-11.88579934835434,107.93169570922852,0.6142093509435653,0.00933276163879782,0.3764578863978386,1.8833642578125,4.5114441672793895,109
1_Coherent,20,0.7142857142857143,0.5651030641794205,0.4183096733689308,-44.06474831581116,114.60578025817871,0.5810503953695297,0.0076577852852642535,0.4112918199598789,2.113681640625,4.551012172369955,107
1_Coherent,21,0.75,0.5464660065248609,0.4242117990553379,-43.92445686340332,144.9655438232422,0.5341884399950504,0.006744215497747064,0.4590673458576202,2.1604443359375,4.541033407222304,106
1_Coherent,22,0.7857142857142857,0.23783767859917135,0.4306241749227047,12.77630538702011,195.31422889709472,0.6087040555477142,0.005951866384129971,0.3853440782427788,2.628984375,4.836815515729892,107
1_Coherent,23,0.8214285714285714,0.3743004218861461,0.45175118461251257,-52.62830072402954,240.10779289245605,0.6685266375541687,0.007347224832046777,0.3241261373460293,3.4698828125,4.950830840390463,107
1_Coherent,24,0.8571428571428571,0.18624663540162145,0.4702209457755089,-44.24182627677917,249.99778869628906,0.5929011711478234,0.008683240783866494,0.3984155882894993,4.520771484375,5.33456016215566,105
1_Coherent,25,0.8928571428571429,0.28174699787050483,0.5320114347338677,6.532773141860962,334.42100830078124,0.6433530151844025,0.005454998889472335,0.3511919854581356,5.7620703125,5.397489537903412,105
1_Coherent,26,0.9285714285714286,4.3136472587548266e-05,0.5488420960307121,-67.3015132522583,340.07515045166014,0.3683551941812038,0.002775584679329768,0.62886922031641,6.7945703125,5.6096725477038305,106
1_Coherent,27,0.9642857142857143,2.5672908905202108e-42,0.5791778016090393,-12.366275947093964,452.06545455932616,0.04465242816135287,0.0008961270508007147,0.9544514438509941,6.57638671875,5.784321261911803,105
2_Paradoxical,0,0.0,7.00238363981247,0.44120924279093743,2.402995626330376,36.51323766708374,0.326471226811409,0.03151913286186755,0.6420096400380134,0.2148065185546875,7.482114284337,120
2_Paradoxical,1,0.03571428571428571,7.016587338447571,0.4544968965649605,2.793425977230072,35.67585664749146,0.31264582231640814,0.04337947480380535,0.643974701166153,0.294913330078125,8.406545049578416,129
2_Paradoxical,2,0.07142857142857142,7.020516705513001,0.48202254965901375,-5.182299598455429,34.42777349472046,0.3857641492784023,0.01677306675352156,0.5974627840518951,1.0193310546875,8.610492523924629,123
2_Paradoxical,3,0.10714285714285714,7.0235888838768,0.5267238932847976,-7.363816733360291,31.701211194992066,0.405289638787508,0.02362787106074393,0.5710824874043464,1.072724609375,9.714568789323556,134
2_Paradoxical,4,0.14285714285714285,7.020656199455261,0.548126622736454,-10.179376454353333,18.941161384582518,0.46540122643113135,0.019669994069263338,0.5149287810921669,1.086474609375,9.251335598369812,137
2_Paradoxical,5,0.17857142857142858,7.019132673740387,0.5792269432544708,-11.188584980964661,22.55050642967224,0.39007960990071294,0.018675239235162736,0.591245150566101,1.09658203125,10.63733269863515,139
2_Paradoxical,6,0.21428571428571427,7.019304766654968,0.5746926838159561,-7.814612455368042,15.884094142913819,0.5811914533376694,0.013760880068875849,0.40504766777157786,1.1099853515625,9.589022917213901,139
2_Paradoxical,7,0.25,7.023832437992096,0.581462060213089,-8.940880072116851,20.475306386947633,0.4545071990787983,0.020667124427855014,0.5248256760835648,1.114931640625,11.27180592510456,142
2_Paradoxical,8,0.2857142857142857,7.021652073860168,0.5717599421739579,-10.346526992321014,24.804691352844237,0.45917513728141784,0.023411132390610875,0.5174137297272682,1.1236865234375,11.964354315192104,145
2_Paradoxical,9,0.32142857142857145,7.018789346218109,0.5624423897266388,-5.58575923204422,28.28360573768616,0.5058962672948837,0.027121724183671175,0.46698200702667236,1.1380224609375,13.014977945943533,148
2_Paradoxical,10,0.35714285714285715,7.011201615333557,0.5476203441619873,0.2838861288689077,32.92142842292785,0.4717950220406055,0.041198276663199064,0.4870067024230957,1.1523388671875,14.303232869679466,150
2_Paradoxical,11,0.39285714285714285,7.000550956726074,0.541834260225296,-3.147164763212204,37.048615264892575,0.5192191153764725,0.03289683662354946,0.4478840480744839,1.1736669921875,14.492628662645629,150
2_Paradoxical,12,0.42857142857142855,6.538440673351288,0.5536422869563102,-4.537247396707535,51.23526327133179,0.5516048526763916,0.023903049253858624,0.424492097645998,1.2096337890625,13.114603555146644,148
2_Paradoxical,13,0.4642857142857143,5.372163424491882,0.5368210905790329,-23.64074167251587,49.796744403839114,0.5525588917732239,0.024940790464170276,0.42250031769275664,1.2760205078125,12.008952241496301,147
2_Paradoxical,14,0.5,4.461290575489402,0.5191906428337097,-21.70288935184479,53.49374515533447,0.5665401405096054,0.020035618036054074,0.413424241989851,1.326865234375,12.480673369294573,146
2_Paradoxical,15,0.5357142857142857,2.3958049574680627,0.5254360385239124,-15.27004132270813,68.5176467514038,0.5950027444958687,0.011315954823512584,0.39368129923939704,1.4093603515625,11.844543126617378,144
2_Paradoxical,16,0.5714285714285714,1.7825681431312115,0.4881025832891464,-18.291763758659364,63.00438385009765,0.6176646414399147,0.010367085663601757,0.37196827441453933,1.6091357421875,10.10487872761667,140
2_Paradoxical,17,0.6071428571428571,1.5131414382904769,0.457801575511694,-6.242829701900482,60.82618396759033,0.5043510735034943,0.009816020610742271,0.4858329050242901,1.636767578125,10.176542740638507,137
2_Paradoxical,18,0.6428571428571429,0.11568893875613867,0.46977599248290064,17.605442204475402,109.27456226348878,0.6638668978214264,0.006995775212999433,0.3291373270750046,1.6597509765625,9.502590333267532,133
2_Paradoxical,19,0.6785714285714286,0.38312374940665905,0.4334442660212517,-7.295344099998474,107.65974708557128,0.6090140074491501,0.009577462349552661,0.38140853121876717,1.79478515625,9.301039084770812,130
2_Paradoxical,20,0.7142857142857143,0.5105902053881437,0.40694269046187403,-38.12419894218445,112.69502880096435,0.5745876377820969,0.00779801462078467,0.417614348679781,2.0109326171875,8.790966428978471,127
2_Paradoxical,21,0.75,0.5178649657126516,0.412670793235302,-38.12803163528442,143.39740043640137,0.5310122102499009,0.006469712618272751,0.46251807779073717,2.055498046875,8.4840264375316,125
2_Paradoxical,22,0.7857142857142857,0.1765963157027727,0.4233532966673374,17.935422253608703,195.80525657653808,0.6126581645011902,0.006267498533707112,0.3810743375122547,2.527724609375,8.970002574361256,125
2_Paradoxical,23,0.8214285714285714,0.30582967642345465,0.44586536675691607,-46.73917995452881,238.99805160522462,0.6653672671318054,0.008364920243620873,0.32626781359314916,3.36740234375,8.977644720806307,124
2_Paradoxical,24,0.8571428571428571,0.14807093710056507,0.46872220635414125,-37.59084600448608,248.84688842773437,0.5920385903120041,0.007639293833635747,0.4003221155703068,4.42130859375,9.214345991283595,121
2_Paradoxical,25,0.8928571428571429,0.36183979278430345,0.5312853002548218,13.778006598949432,334.70503784179687,0.6448220425844192,0.0055376888881437485,0.3496402671933174,5.6215625,9.584857438698442,120
2_Paradoxical,26,0.9285714285714286,4.8446064880636186e-05,0.5464417624473572,-60.34455476760864,338.68781356811525,0.36647983312606813,0.0027639981533866377,0.6307561683654785,6.659453125,9.815789875689909,121
2_Paradoxical,27,0.9642857142857143,6.055704307087375e-42,0.5779641592502593,-5.5361810040473936,452.0268359375,0.04500249557197094,0.0008916636509820819,0.9541058397293091,6.45365234375,10.122864092508095,121
