model,layer,relative_depth,bucket,lid,isotropy,entropy
mistralv1-7B,8,0.25,2_Impossible,19.834885070969868,0.0391195945342752,14.6233
mistralv1-7B,8,0.25,3_Hallucination,-11792432.057357786,0.02934318070911988,12.682
mistralv1-7B,9,0.28125,1_Factual,11.74667550076851,6.183676920992881e-05,4.38791
mistralv1-7B,9,0.28125,2_Impossible,18.725356909788157,0.03854483568787984,16.675083
mistralv1-7B,9,0.28125,3_Hallucination,-11792433.333006598,0.028828883313898192,14.4668045
mistralv1-7B,10,0.3125,1_Factual,10.850990574414913,7.978639551498391e-05,4.892597
mistralv1-7B,10,0.3125,2_Impossible,18.23597304535391,0.03862682472872792,19.30588
mistralv1-7B,10,0.3125,3_Hallucination,-11792433.631956238,0.02888673907367453,16.75582
mistralv1-7B,11,0.34375,1_Factual,10.938817320745564,9.99721610092452e-05,5.472584
mistralv1-7B,11,0.34375,2_Impossible,18.185384652888242,0.03871756147169129,22.35371
mistralv1-7B,11,0.34375,3_Hallucination,-11792433.17827657,0.02895250135789754,19.307312
mistralv1-7B,12,0.375,1_Factual,10.492527536804417,0.00012939198683905532,6.0113854
mistralv1-7B,12,0.375,2_Impossible,17.04212057166867,0.03884545833311047,25.22964
mistralv1-7B,12,0.375,3_Hallucination,-11792434.423736842,0.02905192060626234,21.811562
mistralv1-7B,13,0.40625,1_Factual,9.94147687357845,0.00016211471300288087,6.8901467
mistralv1-7B,13,0.40625,2_Impossible,16.403830748831258,0.038956668920181445,30.060997
mistralv1-7B,13,0.40625,3_Hallucination,-11792434.718875661,0.02913530489018737,25.867563
mistralv1-7B,14,0.4375,1_Factual,9.915925295388956,0.0002006250711280871,7.323306
mistralv1-7B,14,0.4375,2_Impossible,15.825566415435837,0.03536478049184467,33.67937
mistralv1-7B,14,0.4375,3_Hallucination,-11792435.521989316,0.026289652258870762,28.971857
mistralv1-7B,15,0.46875,1_Factual,9.82906790835696,0.00024330786108695657,8.914195
mistralv1-7B,15,0.46875,2_Impossible,15.675547594236857,0.035367854660300437,41.669064
mistralv1-7B,15,0.46875,3_Hallucination,-11792435.07750275,0.02629482847746607,35.76115
mistralv1-7B,16,0.5,1_Factual,9.200681981071375,0.0003484957971222902,10.704095
mistralv1-7B,16,0.5,2_Impossible,15.282698686110239,0.03545857712823551,52.277252
mistralv1-7B,16,0.5,3_Hallucination,-11792434.870924622,0.02636849572394227,45.063694
mistralv1-7B,17,0.53125,1_Factual,9.714004750342406,0.000533554024461938,12.735548
mistralv1-7B,17,0.53125,2_Impossible,15.45201466526453,0.03559855380381618,65.976746
mistralv1-7B,17,0.53125,3_Hallucination,-11792434.763575291,0.02646979829671845,57.84444
mistralv1-7B,18,0.5625,1_Factual,9.787171314650616,0.0007556818231556879,16.101982
mistralv1-7B,18,0.5625,2_Impossible,17.57164194868488,0.035706419797311185,84.606186
mistralv1-7B,18,0.5625,3_Hallucination,-11792435.464896686,0.02655892793238156,76.08865
mistralv1-7B,19,0.59375,1_Factual,10.400052540260702,0.0009028472979418017,20.98179
mistralv1-7B,19,0.59375,2_Impossible,18.91854795204532,0.03517998442701813,110.25513
mistralv1-7B,19,0.59375,3_Hallucination,-11792436.046214074,0.026182785915380615,100.5927
mistralv1-7B,20,0.625,1_Factual,10.424158409788422,0.001331685638449406,26.105898
mistralv1-7B,20,0.625,2_Impossible,18.239451490803933,0.03528856403888772,132.79913
mistralv1-7B,20,0.625,3_Hallucination,-11792434.538905319,0.02626045569056284,122.8486
mistralv1-7B,21,0.65625,1_Factual,10.00177804519127,0.0016669495176497723,31.273659
mistralv1-7B,21,0.65625,2_Impossible,21.824679039408597,0.03540629855523605,151.64584
mistralv1-7B,21,0.65625,3_Hallucination,-23584867.324454147,0.0263543094078708,141.39375
mistralv1-7B,22,0.6875,1_Factual,9.83774405450834,0.0020547067372366787,36.354103
mistralv1-7B,22,0.6875,2_Impossible,23.803745089624794,0.03549715843256453,167.2638
mistralv1-7B,22,0.6875,3_Hallucination,-58962172.56354569,0.026410416713038107,156.23424
mistralv1-7B,23,0.71875,1_Factual,9.981199164710143,0.002413669778187815,41.585636
mistralv1-7B,23,0.71875,2_Impossible,25.18742589959304,0.03555445291157413,183.0698
mistralv1-7B,23,0.71875,3_Hallucination,-58962211.673734345,0.026448798121296503,170.55927
mistralv1-7B,24,0.75,1_Factual,9.57783467492108,0.0026756010480136314,47.77501
mistralv1-7B,24,0.75,2_Impossible,27.98669375570692,0.03562473363760419,198.54819
mistralv1-7B,24,0.75,3_Hallucination,-82546998.01892081,0.026490132934047568,184.99693
mistralv1-7B,25,0.78125,1_Factual,9.572860699649805,0.003129234561591717,53.364407
mistralv1-7B,25,0.78125,2_Impossible,29.778102715400763,0.03573021363018184,212.05058
mistralv1-7B,25,0.78125,3_Hallucination,-106131785.64571927,0.02656157428514388,197.10887
mistralv1-7B,26,0.8125,1_Factual,9.797031851511763,0.003483400025853497,58.979553
mistralv1-7B,26,0.8125,2_Impossible,21.728288620139548,0.03573135907200588,224.83379
mistralv1-7B,26,0.8125,3_Hallucination,-11792405.08656155,0.02656825765623491,209.13916
mistralv1-7B,27,0.84375,1_Factual,9.764111369292365,0.004462400009507134,65.831314
mistralv1-7B,27,0.84375,2_Impossible,23.656842442417908,0.036253202584468146,239.10162
mistralv1-7B,27,0.84375,3_Hallucination,-23584838.27711398,0.027005449492977292,223.33157
mistralv1-7B,28,0.875,1_Factual,10.341398056150894,0.005447445025697377,75.707535
mistralv1-7B,28,0.875,2_Impossible,34.885528305649316,0.03658008002963225,258.2486
mistralv1-7B,28,0.875,3_Hallucination,-23584870.159510024,0.027230976926287016,242.27888
mistralv1-7B,29,0.90625,1_Factual,11.296249529154043,0.006909582879193423,90.16951
mistralv1-7B,29,0.90625,2_Impossible,38.399464128920975,0.038507196037981285,282.07657
mistralv1-7B,29,0.90625,3_Hallucination,-11792433.671236634,0.02878271070784167,264.8348
mistralv1-7B,30,0.9375,1_Factual,11.534271039645953,0.029314475598948765,163.19252
mistralv1-7B,30,0.9375,2_Impossible,21.10791922233258,0.04613163927801637,376.92416
mistralv1-7B,30,0.9375,3_Hallucination,-11792432.585991673,0.052374812912984355,363.8386
mistralv1-7B,31,0.96875,1_Factual,11.33577210280986,0.8804700460311337,269.86038
mistralv1-7B,31,0.96875,2_Impossible,15.875894048712302,0.6719304747889636,487.28098
mistralv1-7B,31,0.96875,3_Hallucination,-11792435.406697491,0.4979424982902143,468.383
