model,layer,relative_depth,bucket,lid,isotropy,entropy
qwen3-32B,53,0.828125,2_Impossible,18.871480743968103,0.519370586903119,739.6632
qwen3-32B,53,0.828125,3_Hallucination,19.93369464904232,0.5515236901376471,684.27277
qwen3-32B,54,0.84375,1_Factual,13.850518243336003,0.601234894953741,352.69595
qwen3-32B,54,0.84375,2_Impossible,20.1094872003345,0.5149470010378199,752.9021
qwen3-32B,54,0.84375,3_Hallucination,22.199444316610847,0.6499846691756168,709.68536
qwen3-32B,55,0.859375,1_Factual,13.666819088695652,0.5893999250262867,367.62958
qwen3-32B,55,0.859375,2_Impossible,21.32549224351403,0.49661127049942155,762.53046
qwen3-32B,55,0.859375,3_Hallucination,22.505569866758123,0.7097029904196871,722.82635
qwen3-32B,56,0.875,1_Factual,14.991679228091204,0.494225905255206,382.81512
qwen3-32B,56,0.875,2_Impossible,23.33174705482982,0.5046715753837049,772.43365
qwen3-32B,56,0.875,3_Hallucination,23.078002105557257,0.7969041310436592,732.7217
qwen3-32B,57,0.890625,1_Factual,16.1813179249803,0.5100165030472716,391.0367
qwen3-32B,57,0.890625,2_Impossible,24.445242457153938,0.5328131055309033,778.3679
qwen3-32B,57,0.890625,3_Hallucination,23.012116810201427,0.8732781890355235,742.9849
qwen3-32B,58,0.90625,1_Factual,17.641397514094106,0.43562513231070765,398.06213
qwen3-32B,58,0.90625,2_Impossible,26.13632072373478,0.575521852314833,787.72754
qwen3-32B,58,0.90625,3_Hallucination,24.47677021177069,0.62720647827946,763.649
qwen3-32B,59,0.921875,1_Factual,19.738021189827066,0.3914188142658901,407.20193
qwen3-32B,59,0.921875,2_Impossible,27.876776952154184,0.5537121145568215,803.4751
qwen3-32B,59,0.921875,3_Hallucination,25.50086189140198,0.513309356870355,785.0262
qwen3-32B,60,0.9375,1_Factual,21.521273907639348,0.41073412751474025,414.4525
qwen3-32B,60,0.9375,2_Impossible,28.49315274682874,0.5880746987702183,809.81165
qwen3-32B,60,0.9375,3_Hallucination,25.813689720930984,0.538126217476435,797.9477
qwen3-32B,61,0.953125,1_Factual,23.2163529391153,0.49707290106453983,418.15213
qwen3-32B,61,0.953125,2_Impossible,28.371955916647106,0.6282013863224551,812.0184
qwen3-32B,61,0.953125,3_Hallucination,26.454561742354954,0.7473084487727658,809.0602
qwen3-32B,62,0.96875,1_Factual,22.111399260769357,0.6655760404279302,415.97052
qwen3-32B,62,0.96875,2_Impossible,26.950249708303506,0.3677730232540656,793.93945
qwen3-32B,62,0.96875,3_Hallucination,25.940514179684662,0.9043233798973587,805.4042
qwen3-32B,63,0.984375,1_Factual,14.156784690730415,0.18247882060505977,330.57205
qwen3-32B,63,0.984375,2_Impossible,15.556339694527175,0.17583407454113908,564.86865
qwen3-32B,63,0.984375,3_Hallucination,15.302161982943375,0.2013955574954719,647.6235
