layer,type,comparison_group,index,score,mean_deviant,mean_factual,ent_deviant,ent_factual
8,neuron_activation,Impossible_vs_Factual,10739,0.5693562626838684,-0.021777719259262085,-0.0905061736702919,,
8,neuron_activation,Impossible_vs_Factual,9312,0.5601875185966492,-0.0832851380109787,-0.12708649039268494,,
8,neuron_activation,Impossible_vs_Factual,6387,0.5509316921234131,0.030066192150115967,-0.0016880715265870094,,
8,neuron_activation,Hallucinations_vs_Factual,10294,0.7054186463356018,-0.08720150589942932,-0.17672596871852875,,
8,neuron_activation,Hallucinations_vs_Factual,8898,0.6870555281639099,-0.03327091410756111,-0.08623892068862915,,
8,neuron_activation,Hallucinations_vs_Factual,8893,0.6733726859092712,-0.01153406873345375,-0.10157360881567001,,
8,neuron_activation,Hallucinations_vs_Factual,908,0.6531325578689575,0.06433341652154922,-0.06669524312019348,,
8,neuron_activation,Hallucinations_vs_Factual,11794,0.6414545774459839,-0.030995074659585953,-0.12971988320350647,,
8,neuron_activation,Hallucinations_vs_Factual,9312,0.6376549601554871,-0.07681836187839508,-0.12708649039268494,,
8,neuron_activation,Hallucinations_vs_Factual,3323,0.6258555054664612,-0.0787537544965744,-0.13382431864738464,,
8,neuron_activation,Hallucinations_vs_Factual,10739,0.6187617182731628,-0.016570230945944786,-0.0905061736702919,,
8,neuron_activation,Hallucinations_vs_Factual,11179,0.6185629367828369,-0.1392357349395752,-0.22464649379253387,,
8,neuron_activation,Hallucinations_vs_Factual,3714,0.6097151637077332,-0.005513628479093313,-0.09301108121871948,,
9,neuron_activation,Impossible_vs_Factual,791,0.616854727268219,0.1349763572216034,0.05799147114157677,,
9,neuron_activation,Impossible_vs_Factual,7372,0.6049318909645081,-0.07711736112833023,-0.1930277943611145,,
9,neuron_activation,Impossible_vs_Factual,2267,0.5975817441940308,0.07919804751873016,-0.029780464246869087,,
9,neuron_activation,Impossible_vs_Factual,7114,0.5591729879379272,0.07679932564496994,0.022201450541615486,,
9,neuron_activation,Impossible_vs_Factual,11390,0.5483569502830505,0.0409880131483078,-0.01958346925675869,,
9,neuron_activation,Impossible_vs_Factual,9536,0.5470242500305176,0.008131951093673706,-0.05035712569952011,,
9,neuron_activation,Impossible_vs_Factual,6273,0.5463253259658813,-0.012302350252866745,-0.11348551511764526,,
9,neuron_activation,Impossible_vs_Factual,4715,0.5426364541053772,0.11978050321340561,-0.07176093012094498,,
9,neuron_activation,Impossible_vs_Factual,10911,0.5366640090942383,-0.05410071834921837,-0.11563844233751297,,
9,neuron_activation,Impossible_vs_Factual,2598,0.5230140089988708,0.12134900689125061,0.02751772850751877,,
9,neuron_activation,Hallucinations_vs_Factual,7372,0.762981653213501,-0.05353046581149101,-0.1930277943611145,,
